               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.01917,           0.0051357,                   0,             0.99992,                   1,               0.995,              0.8269,           0.0069284,            0.001934,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.018165,           0.0050902,                   0,              0.9999,                   1,               0.995,             0.86303,            0.005963,           0.0018599,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.018222,           0.0050795,                   0,             0.99991,                   1,               0.995,             0.85293,           0.0063867,           0.0018989,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.01858,           0.0050621,                   0,              0.9999,                   1,               0.995,             0.87106,           0.0058497,           0.0018752,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.018255,           0.0051573,                   0,             0.99991,                   1,               0.995,             0.83842,           0.0062157,           0.0018509,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.016948,           0.0050774,                   0,             0.99991,                   1,               0.995,             0.81668,           0.0065145,           0.0019421,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.01721,           0.0047914,                   0,             0.99991,                   1,               0.995,             0.86268,           0.0054664,           0.0018529,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.017168,           0.0048367,                   0,             0.99991,                   1,               0.995,             0.86166,            0.005882,           0.0018164,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.01716,           0.0048896,                   0,             0.99987,                   1,               0.995,             0.86667,            0.005534,           0.0017869,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.016948,           0.0050603,                   0,             0.99992,                   1,               0.995,             0.87508,            0.005774,           0.0018668,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.016813,           0.0049817,                   0,             0.99993,                   1,               0.995,             0.87454,           0.0058698,           0.0018244,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.017376,           0.0048542,                   0,             0.99992,                   1,               0.995,             0.84973,           0.0059825,           0.0018047,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.017282,           0.0047087,                   0,             0.99992,                   1,               0.995,             0.86974,            0.005462,           0.0018064,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.017268,           0.0048287,                   0,             0.99991,                   1,               0.995,             0.88205,           0.0055345,           0.0017538,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.016748,           0.0047828,                   0,             0.99991,                   1,               0.995,             0.88632,           0.0051902,           0.0017275,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.016504,           0.0046614,                   0,             0.99991,                   1,               0.995,             0.87539,           0.0052929,            0.001737,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.01684,           0.0046862,                   0,             0.99992,                   1,               0.995,              0.8813,           0.0053029,           0.0016918,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.015872,           0.0047422,                   0,             0.99992,                   1,               0.995,              0.8904,           0.0053636,           0.0016751,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.016184,           0.0046242,                   0,             0.99992,                   1,               0.995,             0.85825,           0.0055122,           0.0017331,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.016219,           0.0048677,                   0,             0.99992,                   1,               0.995,              0.8836,           0.0051294,           0.0017103,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.016461,           0.0047804,                   0,             0.99992,                   1,               0.995,             0.87585,            0.005518,           0.0017109,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.016283,           0.0046489,                   0,             0.99992,                   1,               0.995,             0.89087,            0.005092,           0.0016619,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.015402,           0.0046116,                   0,             0.99992,                   1,               0.995,             0.89219,           0.0051385,           0.0016561,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.016429,           0.0048336,                   0,             0.99992,                   1,               0.995,             0.88227,            0.005137,           0.0016265,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.016336,           0.0047288,                   0,             0.99992,                   1,               0.995,             0.88553,           0.0050116,           0.0016101,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.01582,           0.0044749,                   0,             0.99992,                   1,               0.995,             0.89682,           0.0048395,           0.0016028,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.015546,           0.0045889,                   0,             0.99992,                   1,               0.995,             0.89177,           0.0054539,           0.0016294,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.015469,           0.0044734,                   0,             0.99991,                   1,               0.995,              0.8672,           0.0057571,           0.0017141,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.014861,           0.0044479,                   0,             0.99991,                   1,               0.995,             0.87283,           0.0054334,             0.00167,                   0,            0.003466,            0.003466,            0.003466
